,piece,moves,last_square,captured,captures,move_nums,game_id,mean_elo,Checkmate,Termination
63,♜-h8,[],63,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
62,♞-g8,[47],47,True,[],[7],j1dkb5dw,1521.0,♕-d1,Normal
61,♝-f8,[],61,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
60,♚-e8,[59],59,False,[],[21],j1dkb5dw,1521.0,♕-d1,Normal
59,♛-d8,"[38, 46, 38, 31]",31,False,['♘-g1'],"[11, 15, 17, 19]",j1dkb5dw,1521.0,♕-d1,Normal
58,♝-c8,[49],49,False,[],[5],j1dkb5dw,1521.0,♕-d1,Normal
57,♞-b8,[42],42,False,[],[23],j1dkb5dw,1521.0,♕-d1,Normal
56,♜-a8,[],56,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
55,♟-h7,[],55,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
54,♟-g7,"[47, 39]",39,True,['♗-c1'],"[9, 13]",j1dkb5dw,1521.0,♕-d1,Normal
53,♟-f7,[],53,True,[],[],j1dkb5dw,1521.0,♕-d1,Normal
52,♟-e7,[44],44,False,[],[1],j1dkb5dw,1521.0,♕-d1,Normal
51,♟-d7,[],51,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
50,♟-c7,[],50,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
49,♟-b7,[41],41,False,[],[3],j1dkb5dw,1521.0,♕-d1,Normal
48,♟-a7,[],48,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
15,♙-h2,[],15,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
14,♙-g2,[],14,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
13,♙-f2,[],13,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
12,♙-e2,[28],28,False,[],[0],j1dkb5dw,1521.0,♕-d1,Normal
11,♙-d2,[27],27,False,[],[2],j1dkb5dw,1521.0,♕-d1,Normal
10,♙-c2,[],10,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
9,♙-b2,[],9,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
8,♙-a2,[16],16,False,[],[4],j1dkb5dw,1521.0,♕-d1,Normal
7,♖-h1,[],7,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
6,♘-g1,"[21, 31]",31,True,[],"[14, 16]",j1dkb5dw,1521.0,♕-d1,Normal
5,♗-f1,"[12, 30, 39]",39,False,['♟-g7'],"[10, 12, 18]",j1dkb5dw,1521.0,♕-d1,Normal
4,♔-e1,[],4,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
3,♕-d1,"[21, 53, 60]",60,False,['♟-f7'],"[20, 22, 24]",j1dkb5dw,1521.0,♕-d1,Normal
2,♗-c1,[47],47,True,['♞-g8'],[8],j1dkb5dw,1521.0,♕-d1,Normal
1,♘-b1,[18],18,False,[],[6],j1dkb5dw,1521.0,♕-d1,Normal
0,♖-a1,[],0,False,[],[],j1dkb5dw,1521.0,♕-d1,Normal
63,♜-h8,"[15, 7]",7,True,"['♙-h2', '♖-h1']","[17, 19]",a9tcp02g,1786.5,False,Normal
62,♞-g8,[45],45,True,[],[3],a9tcp02g,1786.5,False,Normal
61,♝-f8,[43],43,False,[],[13],a9tcp02g,1786.5,False,Normal
60,♚-e8,"[52, 51]",51,False,[],"[23, 31]",a9tcp02g,1786.5,False,Normal
59,♛-d8,"[60, 63]",63,True,[],"[27, 29]",a9tcp02g,1786.5,False,Normal
58,♝-c8,"[37, 46]",46,True,[],"[5, 7]",a9tcp02g,1786.5,False,Normal
57,♞-b8,"[42, 27]",27,False,['♙-d2'],"[21, 25]",a9tcp02g,1786.5,False,Normal
56,♜-a8,[63],63,True,['♕-d1'],[33],a9tcp02g,1786.5,False,Normal
55,♟-h7,[46],46,False,['♘-g1'],[9],a9tcp02g,1786.5,False,Normal
54,♟-g7,[],54,True,[],[],a9tcp02g,1786.5,False,Normal
